10000	14928
20000	4665
30000	4665
40000	4665
50000	5132
60000	5131
70000	5598
80000	5131
90000	4665
100000	6998
110000	6531
120000	6065
130000	5132
140000	5598
150000	4665
160000	6531
170000	7464
180000	6065
190000	19127
200000	7464
210000	10730
220000	15861
230000	6531
240000	6064
250000	5598
260000	7930
270000	9797
280000	6064
290000	7930
300000	4665
310000	5598
320000	5598
330000	5132
340000	5132
350000	8863
360000	8397
370000	20059
380000	50383
390000	6998
400000	6064
410000	4665
420000	4665
430000	7930
440000	6531
450000	4665
460000	5131
470000	5131
480000	17261
490000	6531
500000	4665
