10000	6213371
20000	920879
30000	908750
40000	1027709
50000	1004850
60000	1039371
70000	1175591
80000	992722
90000	987590
100000	1023044
110000	1019778
120000	1066429
130000	985723
140000	997387
150000	977793
160000	3911172
170000	1093953
180000	1334203
190000	1225040
200000	1278222
210000	1118677
220000	1112612
230000	1171392
240000	1062697
250000	1027243
260000	1295016
270000	1562789
280000	1134072
290000	1072027
300000	1050101
310000	1473221
320000	969396
330000	1055699
340000	1343999
350000	1189119
360000	1248366
370000	1333736
380000	1080424
390000	992254
400000	1142935
410000	996453
420000	1027709
430000	1000185
440000	1001118
450000	1006716
460000	1055699
470000	1013247
480000	1008116
490000	997853
500000	1420506
