10000	1258100
20000	581300
30000	556100
40000	533700
50000	541200
60000	568000
70000	556300
80000	539000
90000	538700
100000	508100
110000	530900
120000	483200
130000	623000
140000	554400
150000	572600
160000	529100
170000	557100
180000	533300
190000	552500
200000	542100
210000	586600
220000	553800
230000	556200
240000	596000
250000	561200
260000	647000
270000	559700
280000	536700
290000	532200
300000	550200
310000	573000
320000	545200
330000	523300
340000	557100
350000	572200
360000	532100
370000	813600
380000	682000
390000	554400
400000	568000
410000	543600
420000	554600
430000	553400
440000	1038800
450000	496600
460000	494500
470000	552600
480000	490600
490000	531700
500000	551400
