10000	11200
20000	2400
30000	2300
40000	2400
50000	2200
60000	2100
70000	2200
80000	2400
90000	2400
100000	3600
110000	2600
120000	2500
130000	2400
140000	2400
150000	2500
160000	2500
170000	2500
180000	2500
190000	2900
200000	3300
210000	2700
220000	2400
230000	2400
240000	2600
250000	2800
260000	2800
270000	2400
280000	2400
290000	2300
300000	2400
310000	2700
320000	2700
330000	2500
340000	2500
350000	2400
360000	2600
370000	4100
380000	2800
390000	2800
400000	2700
410000	2800
420000	3100
430000	2900
440000	2700
450000	3100
460000	2600
470000	2800
480000	2600
490000	2500
500000	2600
